 Nascidos vivos - São Paulo
Nascim p/resid.mãe por Município e Mês do nascimento
Período:2015
"Município";"Janeiro";"Fevereiro";"Março";"Abril";"Maio";"Junho";"Julho";"Agosto";"Setembro";"Outubro";"Novembro";"Dezembro";"Total"
"350010 Adamantina";27;22;35;30;39;32;34;34;27;22;21;34;357
"350020 Adolfo";4;6;4;6;3;3;6;5;2;5;4;4;52
"350030 Aguaí";40;34;39;43;41;34;24;30;36;25;30;37;413
"350040 Águas da Prata";7;10;8;2;4;11;10;5;7;6;6;5;81
"350050 Águas de Lindóia";31;18;17;14;17;4;27;14;18;23;15;19;217
"350055 Águas de Santa Bárbara";6;6;8;6;4;7;13;13;1;6;9;7;86
"350060 Águas de São Pedro";3;1;2;2;4;1;2;2;3;3;2;1;26
"350070 Agudos";43;36;38;47;29;53;37;45;39;35;33;53;488
"350075 Alambari";3;6;5;4;4;5;4;5;6;7;6;8;63
"350080 Alfredo Marcondes";2;6;3;5;7;3;4;4;1;5;2;4;46
"350090 Altair";2;1;4;3;4;5;3;2;2;7;3;5;41
"350100 Altinópolis";17;14;21;13;21;24;19;18;11;13;10;17;198
"350110 Alto Alegre";2;4;4;-;1;1;3;3;2;2;6;2;30
"350115 Alumínio";20;16;20;13;18;21;15;29;14;21;22;20;229
"350120 Álvares Florence";1;4;2;1;1;5;1;3;-;3;3;5;29
"350130 Álvares Machado";37;24;40;29;30;34;39;29;21;19;24;33;359
"350140 Álvaro de Carvalho";5;5;10;9;3;3;3;4;2;4;6;3;57
"350150 Alvinlândia";7;5;5;6;5;1;6;3;-;1;3;3;45
"350160 Americana";245;230;289;255;262;232;224;228;235;225;200;243;2868
"350170 Américo Brasiliense";59;54;45;55;51;37;31;38;42;45;44;36;537
"350180 Américo de Campos";5;5;9;6;2;5;2;5;2;7;5;5;58
"350190 Amparo";80;63;92;74;75;85;79;71;69;68;69;84;909
"350200 Analândia";7;3;9;8;3;5;4;2;3;-;3;5;52
"350210 Andradina";85;56;68;62;73;64;72;39;59;55;66;54;753
"350220 Angatuba";30;29;35;30;24;29;25;25;26;28;27;33;341
"350230 Anhembi";9;4;7;9;8;4;5;5;7;6;5;2;71
"350240 Anhumas";3;7;4;4;1;6;9;2;6;1;2;3;48
"350250 Aparecida";55;45;40;39;47;49;36;27;34;32;37;34;475
"350260 Aparecida d'Oeste";6;6;6;2;7;3;3;7;2;2;5;2;51
"350270 Apiaí";39;36;37;39;33;29;32;30;23;36;31;28;393
"350275 Araçariguama";25;27;21;27;28;32;29;22;18;22;29;25;305
"350280 Araçatuba";202;183;259;208;256;210;179;203;194;183;181;213;2471
"350290 Araçoiaba da Serra";39;36;47;49;37;35;38;32;35;28;44;34;454
"350300 Aramina";5;11;4;4;7;5;7;11;1;4;7;3;69
"350310 Arandu";7;7;5;9;6;3;8;5;6;3;8;8;75
"350315 Arapeí";-;3;2;2;1;2;2;-;-;1;1;-;14
"350320 Araraquara";266;246;256;273;270;248;230;226;250;250;218;223;2956
"350330 Araras";133;126;154;174;145;130;124;124;108;116;116;153;1603
"350335 Arco-Íris";2;7;2;2;2;2;3;2;4;3;1;-;30
"350340 Arealva";8;7;10;7;4;9;5;9;4;3;3;9;78
"350350 Areias";4;4;6;6;4;4;4;6;2;2;3;5;50
"350360 Areiópolis";12;10;15;15;12;11;18;8;10;14;12;11;148
"350370 Ariranha";9;13;13;5;13;9;7;7;8;5;7;7;103
"350380 Artur Nogueira";46;52;61;76;67;65;45;56;46;35;32;43;624
"350390 Arujá";134;112;138;136;126;115;133;120;128;96;134;105;1477
"350395 Aspásia";3;3;1;3;1;2;3;1;4;-;1;2;24
"350400 Assis";126;98;142;127;120;125;107;103;96;87;88;95;1314
"350410 Atibaia";175;159;211;198;186;181;156;148;160;188;144;184;2090
"350420 Auriflama";13;12;23;13;22;7;21;16;13;11;11;14;176
"350430 Avaí";7;7;4;6;8;4;4;4;9;5;7;5;70
"350440 Avanhandava";12;18;11;23;17;16;5;9;7;7;13;15;153
"350450 Avaré";122;112;130;121;134;122;117;100;112;85;105;114;1374
"350460 Bady Bassitt";25;10;28;27;26;18;19;16;18;15;13;25;240
"350470 Balbinos";-;1;1;2;1;3;1;1;1;-;-;4;15
"350480 Bálsamo";5;8;8;10;10;8;8;12;4;8;5;9;95
"350490 Bananal";4;10;7;10;12;6;8;4;11;5;6;7;90
"350500 Barão de Antonina";8;3;9;2;1;2;4;3;5;4;2;1;44
"350510 Barbosa";8;11;16;6;8;4;7;6;8;7;7;12;100
"350520 Bariri";26;37;45;44;38;39;38;31;30;21;30;28;407
"350530 Barra Bonita";30;24;31;43;27;24;26;38;19;26;20;26;334
"350535 Barra do Chapéu";2;11;3;9;7;4;4;7;5;5;5;10;72
"350540 Barra do Turvo";10;4;8;7;9;5;11;9;4;6;2;8;83
"350550 Barretos";122;133;147;129;165;144;140;120;145;133;140;105;1623
"350560 Barrinha";56;38;49;57;42;34;39;37;32;35;36;43;498
"350570 Barueri";491;486;534;489;485;471;422;469;468;429;430;492;5666
"350580 Bastos";30;34;34;31;24;19;27;23;25;29;24;27;327
"350590 Batatais";54;66;70;60;74;57;57;62;69;61;56;67;753
"350600 Bauru";429;410;476;448;463;449;448;389;420;367;360;376;5035
"350610 Bebedouro";80;74;84;93;74;91;74;75;79;71;61;92;948
"350620 Bento de Abreu";4;-;3;1;3;2;3;5;4;2;6;4;37
"350630 Bernardino de Campos";12;13;18;7;11;18;14;8;9;9;13;16;148
"350635 Bertioga";92;85;87;85;82;93;78;69;100;66;73;71;981
"350640 Bilac";5;11;15;9;11;13;6;6;11;8;2;8;105
"350650 Birigui";121;151;160;158;127;144;151;90;103;106;101;128;1540
"350660 Biritiba-Mirim";36;23;31;24;28;34;31;21;19;37;24;35;343
"350670 Boa Esperança do Sul";15;13;16;14;13;13;14;21;16;13;13;13;174
"350680 Bocaina";13;12;7;20;18;8;12;12;6;9;9;15;141
"350690 Bofete";20;8;16;12;10;16;11;7;10;3;10;12;135
"350700 Boituva";70;69;94;71;76;64;63;78;67;77;49;70;848
"350710 Bom Jesus dos Perdões";21;24;19;29;32;25;31;28;37;18;31;31;326
"350715 Bom Sucesso de Itararé";7;1;8;10;5;12;11;4;7;7;6;3;81
"350720 Borá";3;-;2;1;-;-;1;2;-;1;-;1;11
"350730 Boracéia";4;8;8;4;9;1;5;4;4;3;3;5;58
"350740 Borborema";12;12;16;15;16;9;13;9;12;7;9;11;141
"350745 Borebi";1;2;5;5;3;4;5;2;3;4;4;7;45
"350750 Botucatu";144;137;198;168;155;167;151;159;176;143;148;155;1901
"350760 Bragança Paulista";207;207;225;198;189;171;194;156;191;172;178;170;2258
"350770 Braúna";9;2;7;5;6;5;8;3;8;3;5;5;66
"350775 Brejo Alegre";4;2;2;2;5;3;5;4;5;2;1;2;37
"350780 Brodowski";16;21;31;24;31;21;18;25;37;20;19;22;285
"350790 Brotas";36;36;27;34;27;23;22;20;27;23;24;31;330
"350800 Buri";29;22;33;33;29;20;27;26;28;18;27;32;324
"350810 Buritama";22;19;26;16;18;14;19;16;14;19;16;18;217
"350820 Buritizal";3;3;6;12;3;7;1;1;4;5;3;6;54
"350830 Cabrália Paulista";4;2;5;6;5;7;6;1;2;7;3;4;52
"350840 Cabreúva";79;84;78;66;69;59;74;60;59;54;65;70;817
"350850 Caçapava";104;115;136;111;134;106;96;118;105;108;107;90;1330
"350860 Cachoeira Paulista";38;28;38;33;29;30;35;32;30;21;32;42;388
"350870 Caconde";13;18;27;23;10;13;16;16;23;16;13;11;199
"350880 Cafelândia";19;18;26;23;14;18;21;19;28;12;20;17;235
"350890 Caiabu";2;-;5;6;3;2;3;4;4;3;-;3;35
"350900 Caieiras";130;137;130;128;141;111;112;93;121;101;119;103;1426
"350910 Caiuá";3;4;7;4;1;2;1;4;1;3;4;4;38
"350920 Cajamar";97;90;110;101;124;127;112;115;108;112;91;117;1304
"350925 Cajati";42;39;40;38;42;37;43;44;42;33;30;40;470
"350930 Cajobi";9;13;14;9;19;15;6;13;9;9;10;11;137
"350940 Cajuru";30;29;44;43;28;29;28;26;29;35;27;32;380
"350945 Campina do Monte Alegre";7;3;5;10;4;5;5;14;4;5;6;7;75
"350950 Campinas";1358;1380;1554;1419;1438;1365;1329;1306;1317;1160;1274;1296;16196
"350960 Campo Limpo Paulista";114;96;147;105;102;90;87;100;120;97;76;90;1224
"350970 Campos do Jordão";69;64;84;59;62;53;56;66;63;65;53;64;758
"350980 Campos Novos Paulista";7;3;6;6;6;4;-;4;3;7;4;5;55
"350990 Cananéia";20;20;20;17;20;13;20;14;27;14;15;12;212
"350995 Canas";18;6;9;5;7;6;7;7;5;2;5;4;81
"351000 Cândido Mota";34;19;28;37;38;23;33;26;21;22;31;22;334
"351010 Cândido Rodrigues";4;2;2;-;2;-;1;3;3;1;3;-;21
"351015 Canitar";8;3;4;8;1;10;7;3;7;3;5;6;65
"351020 Capão Bonito";52;47;70;72;53;52;51;62;53;50;42;58;662
"351030 Capela do Alto";26;18;22;22;24;24;20;23;23;17;13;26;258
"351040 Capivari";61;67;69;71;64;59;64;53;60;36;48;61;713
"351050 Caraguatatuba";127;181;170;164;166;166;157;134;133;128;113;131;1770
"351060 Carapicuíba";584;572;681;613;672;637;620;613;594;522;534;610;7252
"351070 Cardoso";11;7;16;12;7;11;9;5;6;5;16;13;118
"351080 Casa Branca";28;21;29;29;34;35;26;26;21;20;23;31;323
"351090 Cássia dos Coqueiros";-;2;3;4;3;1;2;1;1;3;3;1;24
"351100 Castilho";24;22;22;13;16;28;17;18;13;24;17;25;239
"351110 Catanduva";124;118;142;110;131;118;121;113;119;98;110;113;1417
