 Nascidos vivos - São Paulo
Nascim p/resid.mãe por Município e Mês do nascimento
Período:2015
"Município";"Janeiro";"Fevereiro";"Março";"Abril";"Maio";"Junho";"Julho";"Agosto";"Setembro";"Outubro";"Novembro";"Dezembro";"Total"
"351120 Catiguá";6;4;12;6;7;4;12;8;12;8;6;10;95
"351130 Cedral";13;8;12;10;13;10;10;6;9;9;8;7;115
"351140 Cerqueira César";20;22;27;23;26;24;16;21;21;22;25;14;261
"351150 Cerquilho";51;49;53;49;64;37;41;47;46;37;37;49;560
"351160 Cesário Lange";28;22;31;19;24;17;25;17;8;16;21;15;243
"351170 Charqueada";21;14;25;24;16;24;16;17;16;17;18;20;228
"355720 Chavantes";25;18;23;16;17;18;20;16;15;11;18;19;216
"351190 Clementina";10;8;7;11;11;13;8;10;6;7;13;13;117
"351200 Colina";23;25;17;29;32;23;19;21;20;18;21;13;261
"351210 Colômbia";9;9;13;5;7;10;8;5;10;12;9;9;106
"351220 Conchal";41;37;38;40;29;35;32;27;38;29;22;30;398
"351230 Conchas";18;22;23;18;21;20;16;10;15;12;16;16;207
"351240 Cordeirópolis";23;26;25;25;20;21;26;26;25;20;24;32;293
"351250 Coroados";4;7;4;9;2;3;3;8;5;11;3;6;65
"351260 Coronel Macedo";4;2;2;6;7;9;2;3;4;3;3;4;49
"351270 Corumbataí";2;4;5;9;9;4;5;3;3;1;4;3;52
"351280 Cosmópolis";89;56;77;56;68;69;60;64;84;51;54;46;774
"351290 Cosmorama";6;8;8;11;9;5;6;8;7;3;7;10;88
"351300 Cotia";374;350;402;386;420;370;347;349;361;351;364;376;4450
"351310 Cravinhos";42;35;47;41;38;31;30;32;37;42;38;36;449
"351320 Cristais Paulista";13;12;8;8;14;10;8;7;13;10;8;8;119
"351330 Cruzália";3;1;1;1;1;1;1;5;3;2;3;1;23
"351340 Cruzeiro";83;103;102;100;111;70;84;83;92;67;58;87;1040
"351350 Cubatão";156;155;183;184;181;159;171;155;157;125;126;162;1914
"351360 Cunha";21;15;29;19;14;16;21;21;20;13;14;18;221
"351370 Descalvado";41;39;33;39;26;28;23;31;23;20;40;38;381
"351380 Diadema";543;520;612;534;553;510;554;511;531;451;452;521;6292
"351385 Dirce Reis";1;-;2;-;1;3;1;1;2;-;-;2;13
"351390 Divinolândia";12;8;15;10;15;16;9;12;8;8;6;8;127
"351400 Dobrada";6;6;18;14;14;5;20;4;11;7;8;8;121
"351410 Dois Córregos";28;28;30;19;43;33;40;24;21;27;28;29;350
"351420 Dolcinópolis";1;1;2;1;2;1;1;1;3;-;1;5;19
"351430 Dourado";13;6;9;9;6;8;11;7;5;11;6;9;100
"351440 Dracena";59;43;40;48;45;39;35;48;26;46;23;32;484
"351450 Duartina";8;19;19;11;11;8;10;10;11;13;7;11;138
"351460 Dumont";10;7;12;7;8;13;10;11;12;10;7;12;119
"351470 Echaporã";5;6;11;8;5;8;8;8;7;5;9;2;82
"351480 Eldorado";24;19;30;22;13;27;18;15;19;14;13;18;232
"351490 Elias Fausto";20;17;21;21;23;24;24;21;16;14;15;14;230
"351492 Elisiário";4;2;3;3;4;6;5;3;2;3;4;4;43
"351495 Embaúba";1;1;2;-;2;1;2;-;5;3;-;1;18
"351500 Embu das Artes";403;356;421;416;412;393;384;394;365;316;335;359;4554
"351510 Embu-Guaçu";80;82;101;103;87;82;80;74;81;60;100;75;1005
"351512 Emilianópolis";3;2;5;3;4;4;4;1;2;3;5;4;40
"351515 Engenheiro Coelho";21;22;23;26;22;27;26;22;22;25;20;30;286
"351518 Espírito Santo do Pinhal";48;43;31;39;40;33;47;39;35;29;23;45;452
"351519 Espírito Santo do Turvo";3;5;10;5;9;2;3;4;4;10;5;6;66
"355730 Estiva Gerbi";8;11;15;18;12;10;12;15;11;14;8;13;147
"351520 Estrela d'Oeste";6;10;9;7;7;8;10;9;6;6;8;7;93
"351530 Estrela do Norte";1;7;7;4;5;2;6;4;4;5;3;2;50
"351535 Euclides da Cunha Paulista";16;9;16;9;12;13;8;13;2;10;7;5;120
"351540 Fartura";20;16;24;21;20;14;20;15;14;18;16;27;225
"351560 Fernando Prestes";4;1;9;2;8;6;6;3;8;-;2;5;54
"351550 Fernandópolis";68;78;78;89;67;63;74;72;71;73;71;61;865
"351565 Fernão";1;1;1;1;4;1;-;1;2;-;-;2;14
"351570 Ferraz de Vasconcelos";267;279;299;297;292;263;283;254;258;246;217;242;3197
"351580 Flora Rica";-;2;-;-;-;1;2;3;3;1;-;1;13
"351590 Floreal";4;1;3;5;-;1;3;4;2;3;5;2;33
"351600 Flórida Paulista";12;10;17;19;8;9;7;8;17;6;6;6;125
"351610 Florínia";4;5;6;5;5;2;2;3;1;6;-;1;40
"351620 Franca";396;399;440;436;469;425;434;358;406;372;375;401;4911
"351630 Francisco Morato";224;240;284;293;286;279;264;255;223;243;252;271;3114
"351640 Franco da Rocha";190;172;235;223;214;197;209;228;186;177;170;167;2368
"351650 Gabriel Monteiro";7;1;1;3;1;4;3;1;3;2;4;2;32
"351660 Gália";5;4;4;3;9;5;7;4;8;9;7;2;67
"351670 Garça";60;37;52;69;41;50;38;49;46;43;26;42;553
"351680 Gastão Vidigal";5;7;3;4;2;6;2;5;5;1;1;3;44
"351685 Gavião Peixoto";3;11;7;5;7;2;8;5;5;3;8;3;67
"351690 General Salgado";4;9;8;8;7;11;4;10;11;8;10;12;102
"351700 Getulina";8;12;6;11;12;10;11;8;12;9;9;15;123
"351710 Glicério";12;6;10;8;8;5;1;2;3;3;1;4;63
"351720 Guaiçara";12;14;19;8;7;12;8;8;16;8;13;10;135
"351730 Guaimbê";7;6;3;4;5;10;2;5;9;8;4;6;69
"351740 Guaíra";34;36;47;41;39;29;59;31;29;32;28;37;442
"351750 Guapiaçu";20;18;27;15;27;18;22;14;18;28;15;24;246
"351760 Guapiara";20;22;26;24;18;22;19;23;23;20;23;18;258
"351770 Guará";20;14;33;20;22;20;23;23;22;15;16;39;267
"351780 Guaraçaí";7;12;9;3;9;10;6;4;6;3;4;4;77
"351790 Guaraci";9;6;12;11;11;6;12;12;7;9;8;10;113
"351800 Guarani d'Oeste";1;1;2;4;5;-;2;1;1;1;1;1;20
"351810 Guarantã";11;5;9;5;6;6;7;3;5;5;4;8;74
"351820 Guararapes";40;37;46;25;42;39;39;36;27;28;34;32;425
"351830 Guararema";43;30;46;31;36;48;27;29;36;41;29;33;429
"351840 Guaratinguetá";128;122;162;135;118;120;107;116;119;118;106;110;1461
"351850 Guareí";7;7;12;18;15;12;8;9;9;16;5;5;123
"351860 Guariba";46;41;41;49;49;34;40;40;29;41;32;44;486
"351870 Guarujá";454;399;445;406;435;417;398;400;384;297;328;389;4752
"351880 Guarulhos";1959;1819;2084;1910;2108;1888;1896;1748;1839;1626;1634;1804;22315
"351885 Guatapará";13;3;11;7;7;9;14;7;9;11;4;13;108
"351890 Guzolândia";6;3;5;6;8;5;9;4;3;4;6;5;64
"351900 Herculândia";9;10;9;7;8;6;10;10;5;11;13;10;108
"351905 Holambra";16;15;27;20;23;18;24;13;13;22;20;15;226
"351907 Hortolândia";254;243;319;292;289;279;249;275;265;252;224;229;3170
"351910 Iacanga";9;21;24;15;15;14;14;6;8;17;8;15;166
"351920 Iacri";5;3;6;8;5;4;5;8;4;4;3;4;59
"351925 Iaras";7;7;10;2;9;4;8;9;6;2;4;6;74
"351930 Ibaté";34;47;45;54;35;45;55;45;29;33;25;34;481
"351940 Ibirá";8;16;14;18;14;15;13;8;9;4;2;11;132
"351950 Ibirarema";12;9;6;3;2;10;5;7;6;6;5;3;74
"351960 Ibitinga";66;58;81;74;59;68;63;81;59;48;57;76;790
"351970 Ibiúna";121;74;103;80;78;103;89;106;92;85;85;90;1106
"351980 Icém";8;6;8;14;15;10;10;10;6;8;4;14;113
"351990 Iepê";10;11;9;12;9;11;6;8;5;9;11;13;114
"352000 Igaraçu do Tietê";24;19;34;27;30;21;30;14;17;13;19;23;271
"352010 Igarapava";25;26;29;29;20;38;27;29;27;37;19;23;329
"352020 Igaratá";14;13;8;9;14;6;13;9;13;6;12;13;130
"352030 Iguape";26;31;48;36;42;30;37;40;25;27;23;29;394
"352042 Ilha Comprida";11;10;15;12;16;7;15;16;12;15;12;15;156
"352044 Ilha Solteira";19;27;30;24;23;23;27;15;22;22;17;26;275
"352040 Ilhabela";39;40;37;40;40;31;41;43;47;35;27;50;470
"352050 Indaiatuba";276;254;332;277;303;250;252;235;254;226;222;240;3121
"352060 Indiana";10;6;11;3;7;6;-;5;5;4;2;4;63
"352070 Indiaporã";4;3;5;3;4;7;5;2;6;3;3;4;49
"352080 Inúbia Paulista";2;-;4;6;1;4;2;4;6;1;3;3;36
"352090 Ipaussu";18;10;11;15;14;14;11;13;8;13;14;7;148
"352100 Iperó";47;39;44;34;30;40;26;38;37;21;23;37;416
"352110 Ipeúna";9;7;14;10;6;11;7;9;3;10;4;9;99
"352115 Ipiguá";4;7;11;5;2;1;7;4;8;5;9;7;70
"352120 Iporanga";5;2;5;7;3;9;2;5;2;7;5;1;53
"352130 Ipuã";17;19;22;17;20;11;9;17;14;10;16;21;193
"352140 Iracemápolis";22;21;37;31;22;18;15;18;17;17;7;22;247
"352150 Irapuã";10;12;5;6;6;5;3;5;6;10;3;8;79
"352160 Irapuru";10;2;8;4;5;5;6;9;4;7;5;5;70
"352170 Itaberá";24;28;24;24;24;21;16;21;17;22;20;27;268
"352180 Itaí";37;23;25;29;23;22;28;23;20;16;27;21;294
"352190 Itajobi";14;10;12;14;15;14;10;12;14;11;10;9;145
"352200 Itaju";6;3;7;4;1;3;4;6;1;2;2;2;41
"352210 Itanhaém";130;108;134;120;139;117;134;101;106;114;99;121;1423
"352215 Itaóca";4;3;4;5;2;4;6;4;3;5;2;4;46
"352220 Itapecerica da Serra";225;249;262;252;263;230;251;247;246;235;195;217;2872
"352230 Itapetininga";207;177;198;189;184;190;193;187;176;171;174;192;2238
"352240 Itapeva";126;139;131;127;155;129;112;115;113;114;108;136;1505
"352250 Itapevi";381;380;457;410;429;386;371;324;338;354;293;351;4474
"352260 Itapira";69;75;72;82;76;73;63;76;72;60;54;93;865
"352265 Itapirapuã Paulista";7;12;8;3;7;4;3;3;7;5;5;2;66
"352270 Itápolis";37;63;33;41;42;33;38;27;28;30;43;37;452
"352280 Itaporanga";21;20;19;14;17;25;13;12;13;16;9;18;197
"352290 Itapuí";20;20;12;16;14;19;14;12;11;13;12;9;172
"352300 Itapura";10;4;7;9;7;5;6;2;5;4;5;7;71
"352310 Itaquaquecetuba";538;498;586;571;626;516;550;493;514;473;461;511;6337
"352320 Itararé";77;53;53;57;64;70;53;55;48;42;40;50;662
"352330 Itariri";9;11;13;23;16;14;12;15;12;11;7;9;152
"352340 Itatiba";123;135;145;116;155;116;112;115;131;100;110;129;1487
"352350 Itatinga";30;19;28;23;26;26;22;21;19;23;22;26;285
"352360 Itirapina";8;22;7;21;10;7;10;15;12;11;12;12;147
"352370 Itirapuã";4;7;7;7;5;5;5;10;6;2;3;7;68
"352380 Itobi";11;7;8;7;12;6;6;7;10;4;2;6;86
"352390 Itu";225;200;232;206;203;221;205;187;215;175;184;216;2469
"352400 Itupeva";75;84;93;78;69;74;67;78;71;53;69;92;903
"352410 Ituverava";50;37;48;43;42;36;53;43;34;30;36;41;493
"352420 Jaborandi";6;9;4;6;5;5;2;4;8;7;5;6;67
"352430 Jaboticabal";85;75;68;86;70;78;81;71;71;60;61;75;881
"352440 Jacareí";280;249;357;301;280;280;258;267;277;246;235;278;3308
"352450 Jaci";2;10;9;11;4;9;6;8;10;12;5;6;92
"352460 Jacupiranga";22;22;19;16;32;23;24;16;25;26;17;9;251
"352470 Jaguariúna";76;80;92;82;63;69;71;61;75;60;67;68;864
"352480 Jales";59;42;52;45;51;44;41;31;50;43;42;45;545
"352490 Jambeiro";5;8;8;6;5;4;9;6;8;7;3;7;76
"352500 Jandira";143;161;188;166;191;189;152;153;145;143;129;161;1921
"352510 Jardinópolis";45;49;52;50;60;43;43;42;51;40;58;43;576
"352520 Jarinu";36;43;39;40;43;41;32;38;51;28;36;42;469
"352530 Jaú";134;161;164;172;170;150;133;143;139;132;145;136;1779
"352540 Jeriquara";2;7;5;3;4;3;4;1;2;6;5;4;46
"352550 Joanópolis";18;15;13;14;16;8;12;11;15;12;12;10;156
"352560 João Ramalho";6;6;6;4;15;11;3;5;10;7;8;4;85
"352570 José Bonifácio";35;41;47;68;34;29;34;25;32;38;38;39;460
"352580 Júlio Mesquita";4;2;7;2;3;8;6;5;4;5;7;6;59
"352585 Jumirim";2;4;4;3;3;1;2;1;3;1;4;5;33
"352590 Jundiaí";505;480;553;486;524;463;515;517;436;444;418;481;5822
"352600 Junqueirópolis";18;24;23;27;19;14;22;28;15;22;15;14;241
"352610 Juquiá";25;28;28;21;38;18;30;26;25;21;9;18;287
"352620 Juquitiba";30;30;48;38;47;40;42;48;38;37;40;44;482
"352630 Lagoinha";3;2;3;5;3;3;3;2;2;3;2;5;36
"352640 Laranjal Paulista";38;33;30;24;25;25;27;28;35;38;28;27;358
"352650 Lavínia";3;2;10;3;4;1;5;4;6;7;6;2;53
"352660 Lavrinhas";12;11;8;10;12;10;12;9;8;8;7;7;114
"352670 Leme";104;106;117;95;107;98;111;113;104;92;85;113;1245
"352680 Lençóis Paulista";79;65;83;95;78;71;74;74;75;76;51;74;895
"352690 Limeira";332;341;335;312;326;302;263;262;274;300;288;270;3605
"352700 Lindóia";2;5;8;11;6;3;7;1;9;10;5;9;76
"352710 Lins";77;76;85;76;100;84;74;68;68;68;58;86;920
"352720 Lorena";99;109;120;107;123;117;104;101;95;90;95;115;1275
"352725 Lourdes";6;5;1;2;-;1;1;-;2;2;1;2;23
"352730 Louveira";71;71;71;68;67;69;53;68;59;53;51;60;761
"352740 Lucélia";20;13;22;12;16;19;22;11;15;14;9;10;183
"352750 Lucianópolis";5;2;-;3;4;-;3;2;4;1;3;1;28
"352760 Luís Antônio";19;19;15;28;18;9;17;15;17;11;11;15;194
"352770 Luiziânia";7;6;8;14;5;6;7;2;6;3;9;6;79
"352780 Lupércio";1;3;6;4;8;4;6;4;6;5;1;8;56
"352790 Lutécia";3;2;3;-;2;2;2;2;1;-;2;3;22
"352800 Macatuba";16;18;14;16;19;8;13;17;19;22;19;20;201
"352810 Macaubal";11;7;7;6;8;10;6;4;9;8;9;5;90
"352820 Macedônia";5;5;1;4;5;3;1;3;3;-;-;2;32
"352830 Magda";1;6;2;3;5;5;5;4;3;1;2;2;39
"352840 Mairinque";52;63;67;61;66;62;67;71;53;55;49;66;732
"352850 Mairiporã";102;84;115;94;112;101;99;107;92;90;85;90;1171
"352860 Manduri";10;10;7;12;5;7;13;7;5;12;5;8;101
"352870 Marabá Paulista";3;5;3;1;5;2;2;7;2;3;1;3;37
"352880 Maracaí";19;17;16;18;20;16;17;15;15;12;13;16;194
"352885 Marapoama";-;1;3;2;3;5;5;2;2;4;2;2;31
"352890 Mariápolis";4;4;-;3;3;4;1;4;8;1;3;4;39
"352900 Marília";233;265;289;261;274;240;265;223;281;224;230;257;3042
"352910 Marinópolis";4;1;2;1;1;1;1;2;1;1;2;3;20
"352920 Martinópolis";35;25;30;29;30;27;21;26;23;19;24;21;310
"352930 Matão";106;95;98;121;100;90;102;77;84;95;85;81;1134
"352940 Mauá";531;504;538;524;554;491;522;463;500;464;425;512;6028
"352950 Mendonça";4;5;7;5;5;3;6;3;5;5;6;5;59
"352960 Meridiano";4;5;4;4;5;4;5;3;3;2;4;4;47
"352965 Mesópolis";3;2;-;4;1;2;2;1;1;4;4;2;26
"352970 Miguelópolis";33;25;31;27;27;17;17;17;28;18;16;28;284
"352980 Mineiros do Tietê";8;11;12;13;18;20;20;11;12;12;10;9;156
"353000 Mira Estrela";2;4;2;2;2;-;2;-;6;1;1;3;25
"352990 Miracatu";25;20;30;37;35;20;26;26;29;24;23;28;323
"353010 Mirandópolis";26;33;33;31;20;25;17;31;23;16;22;24;301
"353020 Mirante do Paranapanema";11;25;14;23;14;12;16;12;19;19;9;21;195
"353030 Mirassol";71;73;80;76;63;77;50;49;51;49;53;58;750
"353040 Mirassolândia";2;2;6;4;8;4;5;6;3;3;3;6;52
"353050 Mococa";85;59;88;66;80;77;65;56;87;57;52;74;846
"353060 Mogi das Cruzes";560;513;606;603;563;546;548;531;544;503;493;552;6562
"353070 Mogi Guaçu";166;150;174;187;170;172;163;160;159;162;111;161;1935
"353080 Mogi Mirim";104;101;135;98;126;104;87;98;108;99;94;91;1245
"353090 Mombuca";7;4;5;6;4;12;2;6;7;2;4;3;62
"353100 Monções";4;-;1;3;2;3;3;3;2;3;-;1;25
"353110 Mongaguá";51;73;62;69;50;64;72;50;53;41;52;59;696
"353120 Monte Alegre do Sul";7;5;9;6;6;8;8;3;11;4;10;5;82
"353130 Monte Alto";50;42;48;59;46;56;29;45;33;48;35;44;535
"353140 Monte Aprazível";27;21;14;14;14;22;19;23;20;14;14;17;219
"353150 Monte Azul Paulista";16;7;27;21;24;16;21;20;20;15;15;31;233
"353160 Monte Castelo";5;3;8;11;5;4;1;6;3;2;2;4;54
"353180 Monte Mor";58;82;104;86;92;92;76;82;85;55;88;75;975
"353170 Monteiro Lobato";-;1;3;1;4;3;6;4;2;3;1;-;28
"353190 Morro Agudo";26;31;50;37;45;30;33;37;25;28;31;34;407
"353200 Morungaba";9;13;12;19;11;10;15;20;12;13;13;12;159
"353205 Motuca";5;4;7;4;4;3;5;6;1;6;5;7;57
"353210 Murutinga do Sul";4;2;6;5;2;-;4;2;2;4;4;4;39
"353215 Nantes";3;3;5;3;4;1;3;4;3;1;3;-;33
"353220 Narandiba";6;10;8;2;10;6;11;9;7;8;6;10;93
"353230 Natividade da Serra";5;2;8;9;2;4;5;4;7;5;6;8;65
"353240 Nazaré Paulista";23;15;19;21;23;16;24;22;18;13;18;18;230
"353250 Neves Paulista";10;4;8;4;6;8;6;8;7;6;8;7;82
"353260 Nhandeara";4;8;9;13;9;10;11;6;5;6;7;9;97
"353270 Nipoã";8;10;9;6;10;7;3;3;6;4;6;7;79
