 Nascidos vivos - São Paulo
Nascim p/resid.mãe por Município e Mês do nascimento
Período:2016
"Município";"Janeiro";"Fevereiro";"Março";"Abril";"Maio";"Junho";"Julho";"Agosto";"Setembro";"Outubro";"Novembro";"Dezembro";"Total"
"350010 Adamantina";37;52;37;33;37;27;29;36;24;22;11;25;370
"350020 Adolfo";7;5;6;2;3;2;4;5;5;1;2;3;45
"350030 Aguaí";37;27;38;24;37;30;34;33;28;27;39;36;390
"350040 Águas da Prata";4;6;6;15;10;7;6;9;6;9;3;4;85
"350050 Águas de Lindóia";16;22;27;14;20;26;13;13;20;18;16;12;217
"350055 Águas de Santa Bárbara";10;9;8;6;9;6;11;6;7;2;4;8;86
"350060 Águas de São Pedro";4;3;2;4;3;2;1;3;3;-;2;2;29
"350070 Agudos";45;39;53;50;48;36;39;40;47;48;29;38;512
"350075 Alambari";8;4;6;10;5;4;5;9;11;4;6;8;80
"350080 Alfredo Marcondes";6;4;6;4;8;-;2;3;4;2;-;3;42
"350090 Altair";2;5;6;3;8;3;3;4;5;4;7;3;53
"350100 Altinópolis";16;21;18;20;13;13;14;9;14;20;7;15;180
"350110 Alto Alegre";7;5;3;3;-;1;1;2;4;6;5;1;38
"350115 Alumínio";26;28;15;29;23;18;17;24;16;24;17;29;266
"350120 Álvares Florence";5;5;5;3;4;2;-;5;1;2;2;3;37
"350130 Álvares Machado";36;36;38;35;28;22;21;23;34;18;19;29;339
"350140 Álvaro de Carvalho";8;5;7;6;3;2;1;1;5;1;5;2;46
"350150 Alvinlândia";2;5;5;4;4;1;3;5;3;2;4;4;42
"350160 Americana";261;214;235;226;238;204;196;189;190;191;169;182;2495
"350170 Américo Brasiliense";47;45;49;46;43;38;36;23;47;34;28;27;463
"350180 Américo de Campos";5;3;3;3;3;4;6;3;1;4;3;1;39
"350190 Amparo";61;76;80;77;83;66;77;60;55;62;57;61;815
"350200 Analândia";3;5;11;7;2;3;2;7;5;4;1;5;55
"350210 Andradina";49;60;64;72;64;76;62;43;66;38;40;56;690
"350220 Angatuba";23;25;36;39;35;26;27;30;31;24;28;25;349
"350230 Anhembi";4;7;10;9;5;5;8;7;8;5;6;8;82
"350240 Anhumas";8;1;9;7;3;6;3;3;6;7;4;3;60
"350250 Aparecida";36;47;37;44;48;46;43;41;44;43;31;45;505
"350260 Aparecida d'Oeste";8;3;4;2;4;5;5;3;2;7;3;1;47
"350270 Apiaí";29;30;35;22;34;24;18;33;32;22;34;29;342
"350275 Araçariguama";37;27;23;25;18;29;20;18;30;24;26;26;303
"350280 Araçatuba";205;210;223;201;205;191;168;176;176;165;154;167;2241
"350290 Araçoiaba da Serra";36;46;44;40;40;43;37;31;33;32;31;29;442
"350300 Aramina";3;3;2;9;7;4;3;6;5;4;6;6;58
"350310 Arandu";9;5;11;5;6;1;5;6;4;7;7;6;72
"350315 Arapeí";1;1;1;2;1;1;1;2;2;1;1;2;16
"350320 Araraquara";233;218;252;259;236;224;238;212;223;221;204;223;2743
"350330 Araras";144;125;141;139;155;129;121;123;121;113;93;113;1517
"350335 Arco-Íris";-;2;-;3;2;2;2;2;2;2;1;3;21
"350340 Arealva";5;8;7;8;4;10;14;14;6;8;2;9;95
"350350 Areias";9;4;4;4;1;3;3;3;4;3;2;3;43
"350360 Areiópolis";9;8;10;15;8;12;15;13;15;5;9;10;129
"350370 Ariranha";7;11;11;10;4;4;4;8;3;6;6;6;80
"350380 Artur Nogueira";66;64;69;62;59;58;48;46;59;41;44;48;664
"350390 Arujá";133;123;141;143;150;119;131;106;121;105;79;95;1446
"350395 Aspásia";4;1;2;3;3;1;1;1;1;1;2;6;26
"350400 Assis";110;99;136;116;117;102;93;86;101;83;71;116;1230
"350410 Atibaia";175;185;195;190;212;159;140;164;167;164;140;170;2061
"350420 Auriflama";9;21;10;11;13;13;14;11;8;16;16;5;147
"350430 Avaí";7;4;8;3;8;4;8;8;3;4;3;3;63
"350440 Avanhandava";12;17;13;11;17;7;14;9;10;13;13;15;151
"350450 Avaré";126;129;115;117;102;108;119;99;107;93;86;97;1298
"350460 Bady Bassitt";23;15;26;22;25;13;13;18;15;23;11;11;215
"350470 Balbinos";2;2;-;3;2;1;1;1;-;3;-;1;16
"350480 Bálsamo";8;5;5;6;3;6;7;5;6;1;9;6;67
"350490 Bananal";7;8;7;14;4;4;7;9;10;8;7;5;90
"350500 Barão de Antonina";1;6;5;5;2;7;8;6;3;4;6;1;54
"350510 Barbosa";10;8;10;6;9;9;6;3;6;7;6;8;88
"350520 Bariri";37;35;33;33;42;31;32;30;35;25;22;47;402
"350530 Barra Bonita";25;32;22;28;35;24;24;26;24;24;19;32;315
"350535 Barra do Chapéu";5;4;9;8;5;5;7;7;7;2;4;4;67
"350540 Barra do Turvo";13;8;6;12;3;7;6;12;7;6;5;6;91
"350550 Barretos";131;108;139;117;140;136;114;104;98;122;91;91;1391
"350560 Barrinha";42;36;53;34;51;47;42;32;34;35;27;39;472
"350570 Barueri";467;472;492;475;477;492;462;451;431;399;408;420;5446
"350580 Bastos";26;28;34;29;18;30;17;16;14;22;17;29;280
"350590 Batatais";72;60;59;55;64;59;49;56;53;53;41;56;677
"350600 Bauru";383;405;485;369;460;399;392;377;375;355;318;359;4677
"350610 Bebedouro";76;87;94;75;104;65;65;75;71;60;62;78;912
"350620 Bento de Abreu";4;3;2;2;4;1;4;1;4;2;3;4;34
"350630 Bernardino de Campos";10;10;11;7;14;10;11;5;8;13;12;15;126
"350635 Bertioga";72;77;87;82;99;91;100;92;83;93;72;77;1025
"350640 Bilac";10;2;7;9;5;9;10;4;4;2;3;7;72
