 Nascidos vivos - São Paulo
Nascim p/resid.mãe por Município e Mês do nascimento
Período:2014
"Município";"Janeiro";"Fevereiro";"Março";"Abril";"Maio";"Junho";"Julho";"Agosto";"Setembro";"Outubro";"Novembro";"Dezembro";"Total"
"350010 Adamantina";38;29;22;29;43;31;37;31;30;31;35;25;381
"350020 Adolfo";5;5;2;5;7;9;2;3;3;5;4;6;56
"350030 Aguaí";25;33;28;34;45;39;44;28;31;28;30;28;393
"350040 Águas da Prata";11;7;5;8;7;11;5;6;8;7;8;7;90
"350050 Águas de Lindóia";19;17;25;22;19;18;24;18;20;12;12;16;222
"350055 Águas de Santa Bárbara";7;7;4;4;10;4;3;9;7;10;6;5;76
"350060 Águas de São Pedro";3;2;1;2;1;-;6;2;3;4;-;2;26
"350070 Agudos";41;41;50;52;50;42;39;34;45;46;35;40;515
"350075 Alambari";2;8;4;7;3;5;8;5;4;3;4;5;58
"350080 Alfredo Marcondes";5;3;4;1;4;3;4;4;4;3;1;5;41
"350090 Altair";1;4;2;4;3;8;7;2;3;4;3;5;46
"350100 Altinópolis";13;17;18;21;15;17;18;13;11;16;8;14;181
"350110 Alto Alegre";3;11;3;4;3;2;4;6;5;6;2;4;53
"350115 Alumínio";20;13;16;23;20;19;20;14;28;24;18;21;236
"350120 Álvares Florence";1;4;4;6;5;2;2;1;1;5;1;6;38
"350130 Álvares Machado";32;29;28;28;32;28;24;29;29;25;23;26;333
"350140 Álvaro de Carvalho";4;2;6;1;4;5;1;6;2;2;3;7;43
"350150 Alvinlândia";3;2;3;7;4;2;4;4;6;3;5;3;46
"350160 Americana";226;231;265;247;220;212;229;203;228;207;218;201;2687
"350170 Américo Brasiliense";56;56;48;54;43;44;47;46;46;52;29;38;559
"350180 Américo de Campos";4;7;6;6;4;5;7;5;5;6;6;8;69
"350190 Amparo";65;71;70;77;78;88;76;73;71;68;62;75;874
"350200 Analândia";2;5;7;6;2;7;2;4;2;5;2;6;50
"350210 Andradina";63;67;61;77;68;60;62;59;53;48;52;57;727
"350220 Angatuba";28;34;30;37;23;22;32;24;17;25;29;32;333
"350230 Anhembi";9;8;7;10;6;13;3;10;6;3;7;8;90
"350240 Anhumas";3;4;4;4;4;2;3;3;2;3;4;2;38
"350250 Aparecida";38;46;49;49;38;39;40;55;39;47;46;34;520
"350260 Aparecida d'Oeste";-;5;4;11;3;3;2;2;1;1;3;3;38
"350270 Apiaí";32;26;28;34;40;25;43;26;28;37;35;32;386
"350275 Araçariguama";29;23;29;36;25;23;24;22;27;29;26;31;324
"350280 Araçatuba";203;206;221;238;202;219;214;186;212;211;181;203;2496
"350290 Araçoiaba da Serra";24;35;27;25;31;30;32;39;35;23;28;32;361
"350300 Aramina";7;4;11;10;9;4;7;7;4;5;6;3;77
"350310 Arandu";4;4;9;7;5;11;3;4;6;4;5;11;73
"350315 Arapeí";-;3;2;5;1;1;2;3;1;-;-;2;20
"350320 Araraquara";263;235;241;261;286;232;249;222;224;223;242;248;2926
"350330 Araras";125;132;129;167;156;145;120;145;140;115;125;127;1626
"350335 Arco-Íris";3;2;3;5;-;4;3;-;4;2;-;3;29
"350340 Arealva";9;8;10;6;6;7;8;1;3;8;13;3;82
"350350 Areias";-;3;4;3;5;2;5;2;2;6;3;-;35
"350360 Areiópolis";16;10;15;20;14;12;11;9;10;16;8;14;155
"350370 Ariranha";5;14;8;13;10;8;10;5;5;6;6;6;96
"350380 Artur Nogueira";42;53;53;62;62;44;43;46;42;47;38;42;574
"350390 Arujá";116;105;128;108;135;99;117;95;102;95;111;138;1349
"350395 Aspásia";6;2;-;3;1;2;1;1;1;2;1;3;23
"350400 Assis";110;98;113;118;122;133;121;100;121;95;107;95;1333
"350410 Atibaia";191;166;169;194;170;171;169;140;149;157;150;145;1971
"350420 Auriflama";11;19;17;17;23;21;15;18;14;9;8;14;186
