 Nascidos vivos - São Paulo
Nascim p/resid.mãe por Município e Mês do nascimento
Período:2014
"Município";"Janeiro";"Fevereiro";"Março";"Abril";"Maio";"Junho";"Julho";"Agosto";"Setembro";"Outubro";"Novembro";"Dezembro";"Total"
"350430 Avaí";7;6;9;5;5;5;4;6;7;6;6;5;71
"350440 Avanhandava";10;6;12;17;14;13;11;8;12;8;10;14;135
"350450 Avaré";108;88;138;122;127;126;124;98;115;106;103;117;1372
"350460 Bady Bassitt";20;11;20;26;21;19;17;20;23;16;17;15;225
"350470 Balbinos";3;2;3;-;-;2;1;-;-;1;-;-;12
"350480 Bálsamo";8;8;7;9;3;8;9;2;7;3;4;1;69
"350490 Bananal";3;10;12;8;6;6;11;6;2;6;7;5;82
"350500 Barão de Antonina";5;5;3;-;9;4;5;4;2;3;6;6;52
"350510 Barbosa";8;7;6;8;11;11;5;6;4;6;10;6;88
"350520 Bariri";40;31;35;38;40;32;37;23;28;24;31;37;396
"350530 Barra Bonita";30;25;19;33;29;28;26;33;27;21;19;36;326
"350535 Barra do Chapéu";4;4;6;6;5;7;10;6;4;8;4;6;70
"350540 Barra do Turvo";5;2;7;2;5;4;9;2;9;9;2;7;63
"350550 Barretos";115;143;122;148;141;122;124;121;133;125;125;130;1549
"350560 Barrinha";46;33;41;40;63;30;44;31;37;33;39;39;476
"350570 Barueri";494;487;485;511;495;493;459;465;440;379;413;426;5547
"350580 Bastos";25;30;23;18;24;20;33;23;20;15;12;23;266
"350590 Batatais";65;56;55;57;59;54;58;50;57;55;61;71;698
"350600 Bauru";458;428;440;467;433;420;413;366;401;350;378;393;4947
"350610 Bebedouro";71;71;60;87;84;80;95;78;65;76;75;86;928
"350620 Bento de Abreu";3;1;4;3;6;4;5;2;2;3;2;3;38
"350630 Bernardino de Campos";10;13;13;9;15;6;15;8;11;10;7;6;123
"350635 Bertioga";82;87;98;99;95;61;93;86;70;69;51;70;961
"350640 Bilac";3;2;11;9;10;9;11;7;8;6;13;7;96
"350650 Birigui";148;140;123;154;133;132;125;108;112;119;111;124;1529
"350660 Biritiba-Mirim";29;27;46;30;39;28;37;41;32;39;28;27;403
"350670 Boa Esperança do Sul";15;19;26;16;25;18;23;16;15;9;14;19;215
"350680 Bocaina";19;16;9;17;16;9;18;8;12;11;15;16;166
"350690 Bofete";13;10;10;9;9;11;8;13;8;9;10;4;114
"350700 Boituva";59;67;78;80;70;87;66;73;85;74;56;68;863
"350710 Bom Jesus dos Perdões";29;19;30;31;27;34;21;20;24;27;16;25;303
"350715 Bom Sucesso de Itararé";10;6;12;4;5;11;6;5;-;7;4;8;78
"350720 Borá";2;-;1;-;2;2;1;1;4;-;2;1;16
"350730 Boracéia";5;4;3;3;5;5;5;5;2;7;3;5;52
"350740 Borborema";9;14;23;11;16;8;21;16;14;10;10;16;168
"350745 Borebi";3;4;6;2;5;2;4;2;5;2;2;5;42
"350750 Botucatu";152;153;189;186;154;163;156;161;147;150;130;136;1877
"350760 Bragança Paulista";171;178;201;196;178;194;209;168;185;187;163;184;2214
"350770 Braúna";7;5;8;9;10;3;4;5;7;7;3;6;74
"350775 Brejo Alegre";-;1;-;1;4;2;4;1;2;3;1;5;24
"350780 Brodowski";28;24;26;28;19;22;27;24;29;23;26;32;308
"350790 Brotas";18;30;30;25;18;31;29;18;30;20;16;18;283
"350800 Buri";23;23;23;20;32;23;28;27;30;23;26;21;299
"350810 Buritama";12;24;15;19;21;18;20;15;17;11;27;18;217
"350820 Buritizal";3;-;7;4;1;5;5;6;4;6;3;3;47
"350830 Cabrália Paulista";5;1;5;2;8;10;5;5;6;5;2;8;62
"350840 Cabreúva";69;59;60;59;61;59;60;61;55;70;52;66;731
"350850 Caçapava";115;125;119;134;101;111;101;92;95;96;87;126;1302
"350860 Cachoeira Paulista";26;23;30;35;34;22;30;32;34;23;36;32;357
"350870 Caconde";17;12;14;16;16;17;12;21;15;13;16;12;181
"350880 Cafelândia";21;16;15;19;20;13;15;12;12;22;19;23;207
"350890 Caiabu";6;5;4;3;6;6;4;2;6;3;3;-;48
"350900 Caieiras";95;109;126;120;133;118;114;111;124;128;112;108;1398
"350910 Caiuá";4;4;4;2;3;5;2;2;7;3;2;5;43
"350920 Cajamar";111;90;113;109;105;80;103;94;102;89;96;116;1208
"350925 Cajati";47;46;63;47;50;34;39;41;33;34;28;44;506
"350930 Cajobi";11;8;8;7;6;9;6;5;14;6;16;18;114
"350940 Cajuru";33;32;42;24;31;36;27;32;39;21;28;26;371
"350945 Campina do Monte Alegre";6;2;9;5;6;6;6;7;6;5;6;7;71
"350950 Campinas";1341;1274;1465;1417;1399;1379;1307;1311;1323;1228;1170;1383;15997
"350960 Campo Limpo Paulista";106;99;120;104;104;99;108;99;92;90;92;99;1212
"350970 Campos do Jordão";66;58;55;51;90;56;64;61;46;70;54;54;725
"350980 Campos Novos Paulista";5;3;4;1;8;5;7;5;7;5;4;5;59
"350990 Cananéia";16;7;17;15;15;18;25;16;14;11;19;10;183
"350995 Canas";11;7;8;5;4;7;8;4;12;5;7;9;87
"351000 Cândido Mota";31;28;22;24;28;28;23;24;23;13;24;29;297
"351010 Cândido Rodrigues";3;3;1;1;1;2;3;-;2;1;1;1;19
"351015 Canitar";6;4;9;4;5;5;2;4;6;6;5;6;62
"351020 Capão Bonito";59;39;58;65;69;53;67;58;64;51;62;67;712
"351030 Capela do Alto";16;19;29;21;21;27;23;31;26;15;14;21;263
"351040 Capivari";65;48;67;76;75;64;56;52;52;57;49;50;711
"351050 Caraguatatuba";148;123;128;157;156;149;138;124;127;106;102;157;1615
"351060 Carapicuíba";646;574;623;593;589;586;603;603;599;546;552;582;7096
"351070 Cardoso";11;8;16;18;15;9;11;7;5;7;10;6;123
"351080 Casa Branca";26;26;37;25;18;30;27;24;21;19;25;18;296
"351090 Cássia dos Coqueiros";3;1;4;1;-;5;1;1;1;-;4;2;23
"351100 Castilho";27;31;25;25;27;11;27;14;23;17;18;22;267
"351110 Catanduva";124;125;126;125;129;125;113;114;117;105;112;125;1440
"351120 Catiguá";12;2;6;12;7;7;9;7;7;13;8;5;95
"351130 Cedral";7;8;4;8;8;5;8;9;6;6;9;4;82
"351140 Cerqueira César";28;17;17;21;23;17;22;23;18;19;11;17;233
"351150 Cerquilho";45;48;55;48;47;40;47;40;53;47;31;52;553
"351160 Cesário Lange";23;18;25;13;21;18;21;32;25;21;19;14;250
"351170 Charqueada";22;13;15;18;22;17;21;24;18;14;12;12;208
"355720 Chavantes";18;16;22;10;22;21;17;11;10;12;4;17;180
"351190 Clementina";8;9;11;8;13;5;8;6;10;13;6;10;107
"351200 Colina";17;23;23;24;27;15;26;20;20;18;12;20;245
"351210 Colômbia";10;11;10;14;9;4;9;5;10;10;7;16;115
"351220 Conchal";31;37;35;37;36;28;33;34;28;38;27;40;404
"351230 Conchas";16;23;21;16;26;11;23;19;22;14;13;15;219
"351240 Cordeirópolis";27;32;28;21;33;24;25;18;19;18;25;29;299
"351250 Coroados";6;5;4;4;3;11;4;8;5;6;6;4;66
"351260 Coronel Macedo";7;4;4;-;6;2;4;5;4;-;6;6;48
"351270 Corumbataí";6;4;7;2;6;7;2;3;2;6;3;5;53
"351280 Cosmópolis";79;85;76;71;66;68;83;60;72;67;52;53;832
"351290 Cosmorama";7;5;8;7;-;5;3;6;12;8;8;6;75
"351300 Cotia";370;319;406;359;363;346;365;372;375;321;316;347;4259
"351310 Cravinhos";39;31;40;34;28;48;20;36;38;30;39;26;409
"351320 Cristais Paulista";4;13;7;7;11;10;6;11;10;7;8;7;101
"351330 Cruzália";2;-;2;-;1;1;2;1;1;1;2;2;15
"351340 Cruzeiro";74;86;101;97;111;93;79;94;90;77;84;86;1072
"351350 Cubatão";155;167;185;187;168;190;157;144;147;129;121;147;1897
"351360 Cunha";25;20;18;25;17;13;15;20;25;22;16;11;227
"351370 Descalvado";35;26;31;27;41;29;39;30;24;34;19;33;368
"351380 Diadema";556;510;586;562;563;516;548;578;510;446;466;551;6392
"351385 Dirce Reis";-;3;3;-;3;1;-;2;1;1;-;2;16
"351390 Divinolândia";10;7;11;12;18;11;8;9;8;7;9;11;121
"351400 Dobrada";10;6;14;13;15;12;11;10;5;7;13;12;128
"351410 Dois Córregos";34;24;33;33;40;38;38;21;25;32;30;20;368
"351420 Dolcinópolis";3;1;1;1;2;2;1;5;5;1;1;3;26
"351430 Dourado";8;12;6;9;7;6;5;4;8;2;5;3;75
"351440 Dracena";41;44;56;42;42;27;40;44;39;45;34;37;491
"351450 Duartina";12;5;13;11;10;16;11;16;15;10;10;9;138
"351460 Dumont";12;10;9;10;13;6;6;3;4;9;11;7;100
"351470 Echaporã";5;7;1;4;6;9;6;6;5;3;11;4;67
"351480 Eldorado";19;16;16;28;24;17;16;11;22;18;10;14;211
"351490 Elias Fausto";18;13;24;16;17;23;17;15;26;11;6;22;208
"351492 Elisiário";4;3;3;5;5;3;1;5;3;7;3;2;44
"351495 Embaúba";2;3;1;3;-;-;-;5;2;1;2;1;20
"351500 Embu das Artes";379;377;409;418;403;387;394;376;386;360;316;370;4575
"351510 Embu-Guaçu";74;80;91;73;100;77;58;69;88;81;76;60;927
"351512 Emilianópolis";-;5;-;1;5;4;1;2;2;2;2;3;27
"351515 Engenheiro Coelho";24;18;19;23;20;23;21;29;15;14;20;23;249
"351518 Espírito Santo do Pinhal";46;34;43;38;51;40;54;31;31;35;44;40;487
"351519 Espírito Santo do Turvo";4;6;2;5;2;7;4;8;6;3;1;8;56
"355730 Estiva Gerbi";14;5;15;9;13;7;14;5;8;11;3;20;124
"351520 Estrela d'Oeste";11;7;4;6;8;13;7;12;13;7;8;14;110
"351530 Estrela do Norte";5;-;2;1;3;2;5;1;2;1;1;5;28
"351535 Euclides da Cunha Paulista";10;9;9;15;6;10;7;9;6;10;6;5;102
"351540 Fartura";18;12;14;22;21;23;14;16;24;15;16;15;210
"351560 Fernando Prestes";5;2;5;4;3;5;5;3;8;2;5;6;53
"351550 Fernandópolis";64;71;62;70;69;78;59;61;50;73;78;65;800
"351565 Fernão";-;2;2;2;1;2;3;-;2;4;-;-;18
"351570 Ferraz de Vasconcelos";273;241;244;237;233;218;245;232;225;207;191;226;2772
"351580 Flora Rica";1;-;1;2;5;2;1;2;2;1;3;2;22
"351590 Floreal";-;-;-;4;4;1;1;3;2;1;4;4;24
"351600 Flórida Paulista";14;12;11;11;15;13;8;5;12;6;8;4;119
"351610 Florínia";7;2;3;1;4;1;1;3;8;1;3;6;40
"351620 Franca";415;404;450;398;433;406;419;394;379;399;346;387;4830
"351630 Francisco Morato";281;262;268;280;290;241;244;238;259;206;234;264;3067
"351640 Franco da Rocha";199;187;182;202;208;202;161;175;188;176;172;191;2243
"351650 Gabriel Monteiro";5;3;1;3;4;-;3;-;3;5;3;3;33
"351660 Gália";7;7;6;7;5;4;8;4;8;4;6;6;72
"351670 Garça";47;34;58;47;50;44;44;42;40;48;47;44;545
"351680 Gastão Vidigal";2;2;2;7;4;5;2;6;7;3;4;-;44
"351685 Gavião Peixoto";8;6;4;5;6;2;9;5;5;7;1;2;60
"351690 General Salgado";17;16;9;10;14;17;9;6;6;13;10;7;134
"351700 Getulina";10;8;12;4;14;6;11;8;11;13;13;7;117
"351710 Glicério";4;7;10;2;8;8;3;-;5;5;7;6;65
"351720 Guaiçara";11;12;18;19;11;14;17;8;10;16;9;11;156
"351730 Guaimbê";8;3;5;12;2;3;2;8;10;6;6;4;69
"351740 Guaíra";44;37;41;56;43;27;42;32;33;42;38;45;480
"351750 Guapiaçu";18;16;20;18;33;20;24;17;13;14;17;22;232
"351760 Guapiara";17;24;20;16;21;19;24;16;32;18;19;18;244
"351770 Guará";24;20;21;31;17;17;22;20;18;21;18;22;251
"351780 Guaraçaí";8;9;8;7;8;7;6;3;4;4;4;3;71
"351790 Guaraci";9;9;16;10;14;11;8;4;14;7;5;7;114
"351800 Guarani d'Oeste";1;1;3;3;4;-;2;2;2;4;1;-;23
"351810 Guarantã";7;8;9;4;9;1;3;7;4;7;4;5;68
"351820 Guararapes";34;35;30;37;34;28;29;21;29;32;33;39;381
"351830 Guararema";34;34;34;31;35;37;41;39;34;32;36;39;426
"351840 Guaratinguetá";119;129;130;123;147;133;165;109;110;137;116;112;1530
"351850 Guareí";10;17;21;12;18;16;10;12;11;11;8;18;164
"351860 Guariba";54;60;39;39;42;39;30;39;35;38;58;57;530
"351870 Guarujá";350;401;477;451;408;431;394;377;365;358;281;381;4674
"351880 Guarulhos";1769;1769;1944;1894;2042;1854;1904;1691;1811;1709;1596;1792;21775
"351885 Guatapará";8;7;5;16;10;13;9;17;2;15;6;6;114
"351890 Guzolândia";4;7;3;5;7;4;7;4;3;4;5;6;59
"351900 Herculândia";18;8;11;7;7;7;6;9;7;4;6;12;102
"351905 Holambra";12;15;12;16;11;18;8;27;16;13;25;20;193
"351907 Hortolândia";256;267;240;283;243;241;259;262;219;248;242;265;3025
"351910 Iacanga";14;7;21;17;14;12;17;10;6;10;13;14;155
"351920 Iacri";5;4;6;10;4;7;3;5;8;3;4;7;66
"351925 Iaras";6;7;5;10;9;6;7;7;6;4;6;5;78
"351930 Ibaté";60;44;46;47;36;57;34;29;45;38;36;53;525
"351940 Ibirá";21;9;14;11;12;19;23;15;10;12;15;13;174
"351950 Ibirarema";5;7;8;9;8;4;6;5;8;2;5;5;72
"351960 Ibitinga";59;46;71;72;65;65;63;62;53;56;63;64;739
"351970 Ibiúna";81;91;94;80;108;92;92;108;69;91;85;95;1086
"351980 Icém";4;6;7;6;10;9;7;9;11;5;17;6;97
"351990 Iepê";7;12;3;8;4;6;12;11;7;6;6;10;92
"352000 Igaraçu do Tietê";22;27;32;32;22;27;26;23;15;20;17;28;291
"352010 Igarapava";33;21;16;30;30;39;31;28;25;15;28;23;319
"352020 Igaratá";14;10;11;10;8;12;13;14;7;11;8;10;128
"352030 Iguape";25;22;34;28;23;23;29;18;33;23;24;31;313
"352042 Ilha Comprida";10;8;8;8;16;16;12;12;10;10;8;18;136
"352044 Ilha Solteira";23;29;23;24;27;22;27;20;21;19;27;25;287
"352040 Ilhabela";48;39;40;44;51;27;36;40;32;34;25;33;449
"352050 Indaiatuba";250;227;286;258;291;244;282;265;273;227;238;277;3118
"352060 Indiana";3;9;10;6;9;6;4;7;4;4;3;4;69
"352070 Indiaporã";7;5;2;3;4;3;3;4;4;2;4;3;44
"352080 Inúbia Paulista";3;2;2;5;2;4;4;1;5;1;2;6;37
"352090 Ipaussu";10;22;13;16;21;20;14;9;11;11;16;16;179
"352100 Iperó";24;24;41;33;34;29;31;24;30;21;31;37;359
"352110 Ipeúna";11;14;8;13;11;9;11;7;6;8;8;8;114
"352115 Ipiguá";2;3;1;5;3;6;6;6;2;4;6;6;50
"352120 Iporanga";8;4;7;5;11;8;5;6;3;6;5;5;73
"352130 Ipuã";20;17;19;18;17;6;14;11;13;14;11;17;177
"352140 Iracemápolis";23;20;23;34;32;21;12;23;19;24;24;26;281
"352150 Irapuã";6;8;8;5;14;9;7;9;4;4;14;12;100
"352160 Irapuru";4;9;3;4;4;3;11;3;3;5;9;4;62
"352170 Itaberá";14;19;28;14;27;25;25;23;22;14;19;19;249
"352180 Itaí";18;31;31;30;29;33;18;28;30;30;31;23;332
"352190 Itajobi";9;15;14;9;12;16;12;17;13;8;7;16;148
"352200 Itaju";2;3;-;5;2;3;7;1;2;2;3;2;32
"352210 Itanhaém";118;124;120;142;143;124;125;128;97;104;93;116;1434
"352215 Itaóca";6;3;3;2;5;4;1;4;5;4;4;2;43
"352220 Itapecerica da Serra";228;255;236;231;259;256;265;252;223;222;245;239;2911
"352230 Itapetininga";189;180;197;189;190;167;186;192;169;157;150;173;2139
"352240 Itapeva";142;100;131;128;138;120;136;98;123;122;109;118;1465
"352250 Itapevi";368;352;407;393;388;422;400;335;294;300;324;339;4322
"352260 Itapira";79;63;76;70;82;72;75;66;61;65;50;57;816
"352265 Itapirapuã Paulista";2;6;7;8;5;2;4;2;5;3;2;7;53
"352270 Itápolis";41;42;45;41;46;55;41;30;37;41;32;34;485
"352280 Itaporanga";15;14;25;16;19;14;16;15;15;19;13;12;193
"352290 Itapuí";20;12;7;13;13;12;11;9;12;14;9;16;148
"352300 Itapura";6;5;5;8;10;3;2;7;2;7;3;4;62
"352310 Itaquaquecetuba";507;510;524;549;536;494;486;518;458;518;450;467;6017
"352320 Itararé";46;40;64;54;59;52;53;53;51;61;62;53;648
"352330 Itariri";14;18;21;7;7;14;13;15;15;5;7;13;149
"352340 Itatiba";151;126;126;140;136;110;126;113;100;96;100;140;1464
"352350 Itatinga";15;25;24;20;25;18;23;22;19;19;14;20;244
"352360 Itirapina";13;15;13;18;21;12;27;9;16;8;13;13;178
"352370 Itirapuã";1;9;7;6;4;6;5;11;3;4;6;7;69
"352380 Itobi";8;6;12;8;7;9;7;9;6;4;5;7;88
"352390 Itu";224;188;213;207;224;185;217;203;215;205;196;199;2476
"352400 Itupeva";65;84;88;68;79;85;85;70;73;52;65;71;885
"352410 Ituverava";40;45;39;41;34;36;43;32;35;31;34;38;448
"352420 Jaborandi";2;3;6;4;4;4;1;3;5;3;7;7;49
"352430 Jaboticabal";72;79;68;81;79;72;59;59;80;68;58;81;856
"352440 Jacareí";280;274;303;313;314;288;307;254;264;245;256;293;3391
"352450 Jaci";8;2;9;10;5;6;5;8;5;7;3;5;73
"352460 Jacupiranga";27;18;17;19;27;20;32;17;23;17;13;26;256
"352470 Jaguariúna";59;44;60;64;66;49;59;53;56;55;53;66;684
"352480 Jales";56;53;45;52;46;37;51;37;32;49;43;35;536
"352490 Jambeiro";3;3;9;10;5;3;4;3;3;7;8;11;69
"352500 Jandira";160;133;168;158;175;147;153;158;165;139;116;175;1847
"352510 Jardinópolis";35;40;33;29;54;48;56;41;31;45;39;37;488
"352520 Jarinu";43;46;45;42;36;36;44;32;27;40;37;39;467
"352530 Jaú";144;161;148;177;154;138;140;146;118;133;121;149;1729
"352540 Jeriquara";2;3;1;5;3;2;2;8;-;1;3;1;31
"352550 Joanópolis";11;6;14;13;10;12;16;13;12;7;12;5;131
"352560 João Ramalho";6;6;4;6;4;3;2;4;6;6;3;6;56
"352570 José Bonifácio";37;39;33;48;32;38;33;25;43;33;28;44;433
"352580 Júlio Mesquita";5;5;8;5;8;4;8;6;2;2;7;6;66
"352585 Jumirim";2;6;3;3;3;1;7;1;3;1;1;3;34
"352590 Jundiaí";431;446;501;469;514;459;505;448;383;385;426;438;5405
"352600 Junqueirópolis";18;25;31;24;20;20;24;13;22;15;19;17;248
"352610 Juquiá";26;22;27;23;37;22;30;33;29;23;32;28;332
"352620 Juquitiba";40;29;33;43;44;39;36;35;39;34;39;38;449
"352630 Lagoinha";1;2;4;2;2;2;1;1;4;1;2;3;25
"352640 Laranjal Paulista";36;45;40;37;34;31;42;25;30;35;20;24;399
"352650 Lavínia";4;5;6;4;4;2;1;-;8;4;5;1;44
"352660 Lavrinhas";12;11;8;12;12;6;5;6;6;3;6;11;98
"352670 Leme";127;98;101;118;123;112;122;95;101;88;100;116;1301
"352680 Lençóis Paulista";93;79;88;87;86;70;82;81;84;63;77;65;955
"352690 Limeira";287;317;340;329;353;280;312;287;270;286;244;300;3605
"352700 Lindóia";11;4;4;7;11;3;5;6;9;6;4;7;77
"352710 Lins";85;75;88;81;81;89;75;77;84;67;66;89;957
"352720 Lorena";107;85;119;98;125;103;102;92;78;94;92;110;1205
"352725 Lourdes";4;1;3;2;4;4;1;4;1;-;1;3;28
"352730 Louveira";60;70;59;64;76;44;65;61;59;65;49;67;739
"352740 Lucélia";15;21;24;18;24;18;18;19;13;14;10;15;209
"352750 Lucianópolis";1;2;2;2;-;1;1;1;3;4;4;2;23
"352760 Luís Antônio";11;17;14;17;15;15;12;13;13;14;16;13;170
"352770 Luiziânia";4;12;5;6;4;7;8;8;11;4;3;14;86
"352780 Lupércio";4;4;7;5;9;6;5;4;3;6;4;9;66
"352790 Lutécia";4;4;3;5;-;1;3;4;7;1;7;4;43
"352800 Macatuba";24;14;15;22;12;21;18;23;21;15;12;21;218
"352810 Macaubal";13;4;8;6;6;3;2;6;5;4;3;11;71
"352820 Macedônia";1;4;1;3;5;-;2;-;2;3;1;-;22
"352830 Magda";3;3;3;2;3;5;7;2;2;1;4;4;39
"352840 Mairinque";69;60;60;59;54;59;64;54;50;51;53;69;702
"352850 Mairiporã";98;100;126;102;101;98;112;82;87;97;88;76;1167
"352860 Manduri";8;5;2;11;6;7;14;7;6;3;9;11;89
"352870 Marabá Paulista";1;2;4;5;1;6;5;4;-;1;4;2;35
"352880 Maracaí";13;14;16;13;20;13;21;24;15;8;13;14;184
"352885 Marapoama";1;2;3;2;6;2;2;3;1;5;-;3;30
"352890 Mariápolis";4;7;5;4;4;3;3;2;2;5;4;3;46
"352900 Marília";248;235;273;244;285;235;244;237;243;202;226;241;2913
"352910 Marinópolis";-;-;5;5;2;4;1;-;2;3;1;1;24
"352920 Martinópolis";28;24;32;28;26;23;30;19;20;24;25;25;304
"352930 Matão";96;90;98;97;75;92;72;81;95;92;81;78;1047
"352940 Mauá";522;463;497;500;528;512;515;457;454;449;415;507;5819
"352950 Mendonça";7;4;8;6;5;3;9;5;6;2;1;3;59
"352960 Meridiano";6;1;2;6;4;3;3;3;6;8;4;2;48
"352965 Mesópolis";1;2;5;1;2;2;1;3;1;2;1;1;22
"352970 Miguelópolis";30;24;29;31;17;19;19;19;22;19;19;28;276
"352980 Mineiros do Tietê";13;11;10;14;15;16;12;15;11;11;10;11;149
"353000 Mira Estrela";2;2;3;4;3;5;2;3;5;2;4;2;37
"352990 Miracatu";21;17;45;28;32;35;27;23;14;19;19;34;314
"353010 Mirandópolis";29;25;24;30;31;24;25;30;31;23;21;20;313
"353020 Mirante do Paranapanema";14;16;12;19;21;14;22;28;46;16;17;15;240
"353030 Mirassol";69;62;67;69;69;76;60;59;48;55;64;64;762
"353040 Mirassolândia";2;3;5;4;3;3;3;3;7;4;2;2;41
"353050 Mococa";72;72;77;81;81;77;78;78;75;54;70;85;900
"353060 Mogi das Cruzes";542;469;584;557;568;489;521;489;523;476;479;509;6206
"353070 Mogi Guaçu";160;164;160;167;201;178;193;153;168;137;108;145;1934
"353080 Mogi Mirim";101;100;110;100;109;98;101;102;103;71;82;90;1167
"353090 Mombuca";6;3;6;8;3;4;5;1;3;4;2;1;46
"353100 Monções";1;3;1;1;2;2;1;2;1;3;2;10;29
"353110 Mongaguá";54;50;82;52;66;60;72;43;38;46;49;63;675
"353120 Monte Alegre do Sul";6;8;9;7;6;5;6;5;7;4;5;5;73
"353130 Monte Alto";49;65;66;56;57;50;35;31;36;39;35;52;571
"353140 Monte Aprazível";14;36;22;33;19;19;15;21;15;13;21;27;255
"353150 Monte Azul Paulista";19;14;18;24;22;24;13;12;25;19;21;21;232
"353160 Monte Castelo";4;3;7;6;4;6;3;-;7;5;7;7;59
"353180 Monte Mor";89;61;100;86;72;86;82;75;73;56;66;77;923
"353170 Monteiro Lobato";1;8;2;3;5;7;5;5;7;4;4;4;55
"353190 Morro Agudo";29;33;34;45;42;36;32;31;28;30;25;34;399
"353200 Morungaba";16;13;23;9;18;13;16;16;13;13;12;21;183
"353205 Motuca";4;5;8;7;7;3;1;8;3;3;1;1;51
"353210 Murutinga do Sul";5;1;2;5;4;3;8;4;6;3;3;5;49
"353215 Nantes";3;2;3;1;2;3;6;4;1;6;5;2;38
"353220 Narandiba";6;7;8;9;8;11;13;3;8;7;6;6;92
"353230 Natividade da Serra";7;7;7;6;10;2;7;2;6;3;5;5;67
"353240 Nazaré Paulista";27;25;14;22;27;26;18;14;26;27;18;13;257
"353250 Neves Paulista";11;6;7;7;7;4;8;7;3;4;6;12;82
"353260 Nhandeara";11;3;9;11;14;13;11;12;4;10;7;9;114
"353270 Nipoã";5;8;7;5;7;3;7;4;7;8;6;2;69
